## Automatically generated from "../../groot/testdata/small-evnt-tree-fullsplit.root"
Beg;I16;I32;I64;U16;U32;U64;F32;F64;Str;P3.Px;P3.Py;P3.Pz;N;StdStr;End
beg-038;38;38;38;38;38;38;38;38;evt-038;37;38;37;8;std-038;end-038
beg-039;39;39;39;39;39;39;39;39;evt-039;38;39;38;9;std-039;end-039
beg-040;40;40;40;40;40;40;40;40;evt-040;39;40;39;0;std-040;end-040
beg-041;41;41;41;41;41;41;41;41;evt-041;40;41;40;1;std-041;end-041
beg-042;42;42;42;42;42;42;42;42;evt-042;41;42;41;2;std-042;end-042
beg-043;43;43;43;43;43;43;43;43;evt-043;42;43;42;3;std-043;end-043
beg-044;44;44;44;44;44;44;44;44;evt-044;43;44;43;4;std-044;end-044
beg-045;45;45;45;45;45;45;45;45;evt-045;44;45;44;5;std-045;end-045
beg-046;46;46;46;46;46;46;46;46;evt-046;45;46;45;6;std-046;end-046
beg-047;47;47;47;47;47;47;47;47;evt-047;46;47;46;7;std-047;end-047
beg-048;48;48;48;48;48;48;48;48;evt-048;47;48;47;8;std-048;end-048
beg-049;49;49;49;49;49;49;49;49;evt-049;48;49;48;9;std-049;end-049
beg-050;50;50;50;50;50;50;50;50;evt-050;49;50;49;0;std-050;end-050
beg-051;51;51;51;51;51;51;51;51;evt-051;50;51;50;1;std-051;end-051
beg-052;52;52;52;52;52;52;52;52;evt-052;51;52;51;2;std-052;end-052
beg-053;53;53;53;53;53;53;53;53;evt-053;52;53;52;3;std-053;end-053
beg-054;54;54;54;54;54;54;54;54;evt-054;53;54;53;4;std-054;end-054
beg-055;55;55;55;55;55;55;55;55;evt-055;54;55;54;5;std-055;end-055
beg-056;56;56;56;56;56;56;56;56;evt-056;55;56;55;6;std-056;end-056
beg-057;57;57;57;57;57;57;57;57;evt-057;56;57;56;7;std-057;end-057
beg-058;58;58;58;58;58;58;58;58;evt-058;57;58;57;8;std-058;end-058
beg-059;59;59;59;59;59;59;59;59;evt-059;58;59;58;9;std-059;end-059
beg-060;60;60;60;60;60;60;60;60;evt-060;59;60;59;0;std-060;end-060
beg-061;61;61;61;61;61;61;61;61;evt-061;60;61;60;1;std-061;end-061
beg-062;62;62;62;62;62;62;62;62;evt-062;61;62;61;2;std-062;end-062
beg-063;63;63;63;63;63;63;63;63;evt-063;62;63;62;3;std-063;end-063
beg-064;64;64;64;64;64;64;64;64;evt-064;63;64;63;4;std-064;end-064
beg-065;65;65;65;65;65;65;65;65;evt-065;64;65;64;5;std-065;end-065
beg-066;66;66;66;66;66;66;66;66;evt-066;65;66;65;6;std-066;end-066
beg-067;67;67;67;67;67;67;67;67;evt-067;66;67;66;7;std-067;end-067
beg-068;68;68;68;68;68;68;68;68;evt-068;67;68;67;8;std-068;end-068
beg-069;69;69;69;69;69;69;69;69;evt-069;68;69;68;9;std-069;end-069
beg-070;70;70;70;70;70;70;70;70;evt-070;69;70;69;0;std-070;end-070
beg-071;71;71;71;71;71;71;71;71;evt-071;70;71;70;1;std-071;end-071
beg-072;72;72;72;72;72;72;72;72;evt-072;71;72;71;2;std-072;end-072
beg-073;73;73;73;73;73;73;73;73;evt-073;72;73;72;3;std-073;end-073
beg-074;74;74;74;74;74;74;74;74;evt-074;73;74;73;4;std-074;end-074
beg-075;75;75;75;75;75;75;75;75;evt-075;74;75;74;5;std-075;end-075
beg-076;76;76;76;76;76;76;76;76;evt-076;75;76;75;6;std-076;end-076
beg-077;77;77;77;77;77;77;77;77;evt-077;76;77;76;7;std-077;end-077
beg-078;78;78;78;78;78;78;78;78;evt-078;77;78;77;8;std-078;end-078
beg-079;79;79;79;79;79;79;79;79;evt-079;78;79;78;9;std-079;end-079
beg-080;80;80;80;80;80;80;80;80;evt-080;79;80;79;0;std-080;end-080
beg-081;81;81;81;81;81;81;81;81;evt-081;80;81;80;1;std-081;end-081
beg-082;82;82;82;82;82;82;82;82;evt-082;81;82;81;2;std-082;end-082
beg-083;83;83;83;83;83;83;83;83;evt-083;82;83;82;3;std-083;end-083
beg-084;84;84;84;84;84;84;84;84;evt-084;83;84;83;4;std-084;end-084
beg-085;85;85;85;85;85;85;85;85;evt-085;84;85;84;5;std-085;end-085
beg-086;86;86;86;86;86;86;86;86;evt-086;85;86;85;6;std-086;end-086
beg-087;87;87;87;87;87;87;87;87;evt-087;86;87;86;7;std-087;end-087
beg-088;88;88;88;88;88;88;88;88;evt-088;87;88;87;8;std-088;end-088
beg-089;89;89;89;89;89;89;89;89;evt-089;88;89;88;9;std-089;end-089
beg-090;90;90;90;90;90;90;90;90;evt-090;89;90;89;0;std-090;end-090
beg-091;91;91;91;91;91;91;91;91;evt-091;90;91;90;1;std-091;end-091
beg-092;92;92;92;92;92;92;92;92;evt-092;91;92;91;2;std-092;end-092
beg-093;93;93;93;93;93;93;93;93;evt-093;92;93;92;3;std-093;end-093
beg-094;94;94;94;94;94;94;94;94;evt-094;93;94;93;4;std-094;end-094
beg-095;95;95;95;95;95;95;95;95;evt-095;94;95;94;5;std-095;end-095
beg-096;96;96;96;96;96;96;96;96;evt-096;95;96;95;6;std-096;end-096
beg-097;97;97;97;97;97;97;97;97;evt-097;96;97;96;7;std-097;end-097
beg-098;98;98;98;98;98;98;98;98;evt-098;97;98;97;8;std-098;end-098
beg-099;99;99;99;99;99;99;99;99;evt-099;98;99;98;9;std-099;end-099
